,name,code,split_index
0,"Autauga County, AL",us-al-001,0.171657013740366
1,"Baldwin County, AL",us-al-003,0.30626388298017765
2,"Barbour County, AL",us-al-005,0.12532724384252344
3,"Bibb County, AL",us-al-007,0.014135357274528512
4,"Blount County, AL",us-al-009,0.014449863449689411
5,"Bullock County, AL",us-al-011,0.0611288434033507
6,"Butler County, AL",us-al-013,0.12286467353301192
7,"Calhoun County, AL",us-al-015,0.025302156816447346
8,"Chambers County, AL",us-al-017,0.015291689674719916
9,"Cherokee County, AL",us-al-019,0.010962654666563348
10,"Chilton County, AL",us-al-021,0.01459888459141627
11,"Choctaw County, AL",us-al-023,0.8392849352514526
12,"Clarke County, AL",us-al-025,0.29790509417602945
13,"Clay County, AL",us-al-027,0.013695618994532102
14,"Cleburne County, AL",us-al-029,0.013323912259925227
15,"Coffee County, AL",us-al-031,0.2645115211160084
16,"Colbert County, AL",us-al-033,0.4558434599969995
17,"Conecuh County, AL",us-al-035,0.07632945447882139
18,"Coosa County, AL",us-al-037,0.013074235200795703
19,"Covington County, AL",us-al-039,0.25038488254704155
20,"Crenshaw County, AL",us-al-041,0.224460491949653
21,"Cullman County, AL",us-al-043,0.16982881961412888
22,"Dale County, AL",us-al-045,0.2880668508702301
23,"Dallas County, AL",us-al-047,0.45986650427149417
24,"DeKalb County, AL",us-al-049,0.22517817753052063
25,"Elmore County, AL",us-al-051,0.20170998431639658
26,"Escambia County, AL",us-al-053,0.46696385204726676
27,"Etowah County, AL",us-al-055,0.36264671861095843
28,"Fayette County, AL",us-al-057,0.2601416304861217
29,"Franklin County, AL",us-al-059,0.2914202151585847
30,"Geneva County, AL",us-al-061,0.448428426009208
31,"Greene County, AL",us-al-063,0.25759889438221406
32,"Hale County, AL",us-al-065,0.5897611274945377
33,"Henry County, AL",us-al-067,0.31007866891871805
34,"Houston County, AL",us-al-069,0.3252772778734899
35,"Jackson County, AL",us-al-071,0.046576553670980445
36,"Jefferson County, AL",us-al-073,0.03680961840501895
37,"Lamar County, AL",us-al-075,0.22885363483012894
38,"Lauderdale County, AL",us-al-077,0.04030647447267377
39,"Lawrence County, AL",us-al-079,0.379354129480674
40,"Lee County, AL",us-al-081,0.0521096407664135
41,"Limestone County, AL",us-al-083,0.029925848300754593
42,"Lowndes County, AL",us-al-085,0.39086742663916224
43,"Macon County, AL",us-al-087,0.024178422860507948
44,"Madison County, AL",us-al-089,0.059936782744131584
45,"Marengo County, AL",us-al-091,0.7113313781953043
46,"Marion County, AL",us-al-093,0.17632180168561534
47,"Marshall County, AL",us-al-095,0.22876630401334758
48,"Mobile County, AL",us-al-097,0.6104192094864702
49,"Monroe County, AL",us-al-099,0.622566782338649
50,"Montgomery County, AL",us-al-101,0.019165217326243877
51,"Morgan County, AL",us-al-103,0.027261737407420827
52,"Perry County, AL",us-al-105,0.4000944660002455
53,"Pickens County, AL",us-al-107,0.8373179695916602
54,"Pike County, AL",us-al-109,0.1421989833844202
55,"Randolph County, AL",us-al-111,0.009664991626615577
56,"Russell County, AL",us-al-113,0.028770286407095863
57,"St. Clair County, AL",us-al-115,0.022237661041440857
58,"Shelby County, AL",us-al-117,0.05446819354944925
59,"Sumter County, AL",us-al-119,0.37244063190353416
60,"Talladega County, AL",us-al-121,0.015343660140138105
61,"Tallapoosa County, AL",us-al-123,0.013988201740265438
62,"Tuscaloosa County, AL",us-al-125,0.2990340456870777
63,"Walker County, AL",us-al-127,0.2379823127722375
64,"Washington County, AL",us-al-129,0.41801388904117376
65,"Wilcox County, AL",us-al-131,0.42462999982292987
66,"Winston County, AL",us-al-133,0.1359657750969046
67,"Apache County, AZ",us-az-001,0.039979504652735365
68,"Cochise County, AZ",us-az-003,0.13560555391366802
69,"Coconino County, AZ",us-az-005,0.04673609884692709
70,"Gila County, AZ",us-az-007,0.3197123126704621
71,"Graham County, AZ",us-az-009,0.27804366347364284
72,"Greenlee County, AZ",us-az-011,0.23178747207818937
73,"La Paz County, AZ",us-az-012,0.046957997106284954
74,"Maricopa County, AZ",us-az-013,0.082336759050684
75,"Mohave County, AZ",us-az-015,0.03673230272999277
76,"Navajo County, AZ",us-az-017,0.11690502763356991
77,"Pima County, AZ",us-az-019,0.05840408662797075
78,"Pinal County, AZ",us-az-021,0.0248606403788455
79,"Santa Cruz County, AZ",us-az-023,0.34659474557908565
80,"Yavapai County, AZ",us-az-025,0.04813575264344161
81,"Yuma County, AZ",us-az-027,0.2031717836337919
82,"Arkansas County, AR",us-ar-001,0.28860494676656945
83,"Ashley County, AR",us-ar-003,0.2491080663035635
84,"Baxter County, AR",us-ar-005,0.16193028969935902
85,"Benton County, AR",us-ar-007,0.29775734384934727
86,"Boone County, AR",us-ar-009,0.19329294723740192
87,"Bradley County, AR",us-ar-011,0.34080327105589403
88,"Calhoun County, AR",us-ar-013,0.24615072366857568
89,"Carroll County, AR",us-ar-015,0.263154912369269
90,"Chicot County, AR",us-ar-017,0.4258892479273688
91,"Clark County, AR",us-ar-019,0.37899783254432673
92,"Clay County, AR",us-ar-021,0.23590137201979303
93,"Cleburne County, AR",us-ar-023,0.13879641551655586
94,"Cleveland County, AR",us-ar-025,0.208512669855766
95,"Columbia County, AR",us-ar-027,0.30239336453718746
96,"Conway County, AR",us-ar-029,0.028832695738814057
97,"Craighead County, AR",us-ar-031,0.28153346809915825
98,"Crawford County, AR",us-ar-033,0.18879108593613858
99,"Crittenden County, AR",us-ar-035,0.3838838463325344
100,"Cross County, AR",us-ar-037,0.2716020703975172
101,"Dallas County, AR",us-ar-039,0.3577603543517552
102,"Desha County, AR",us-ar-041,0.4329268746885751
103,"Drew County, AR",us-ar-043,0.30275468145987344
104,"Faulkner County, AR",us-ar-045,0.05063110950815933
105,"Franklin County, AR",us-ar-047,0.1668672989313815
106,"Fulton County, AR",us-ar-049,0.19256685535402812
107,"Garland County, AR",us-ar-051,0.27963156430638036
108,"Grant County, AR",us-ar-053,0.14058415478162545
109,"Greene County, AR",us-ar-055,0.2115159190370362
110,"Hempstead County, AR",us-ar-057,0.3104953636234669
111,"Hot Spring County, AR",us-ar-059,0.20927001271076393
112,"Howard County, AR",us-ar-061,0.27394456342082124
113,"Independence County, AR",us-ar-063,0.15950631268239585
114,"Izard County, AR",us-ar-065,0.1883092082230863
115,"Jackson County, AR",us-ar-067,0.31539507781013487
116,"Jefferson County, AR",us-ar-069,0.4639621443934703
117,"Johnson County, AR",us-ar-071,0.21394212506841098
118,"Lafayette County, AR",us-ar-073,0.30889716704223236
119,"Lawrence County, AR",us-ar-075,0.2294895623397054
120,"Lee County, AR",us-ar-077,0.43755455479185407
121,"Lincoln County, AR",us-ar-079,0.2500252198714245
122,"Little River County, AR",us-ar-081,0.2212459098404235
