code,split_index
us-al-001,0.171657014
us-al-003,0.306263883
us-al-005,0.125327244
us-al-007,0.014135357
us-al-009,0.014449863
us-al-011,0.061128843
us-al-013,0.122864674
us-al-015,0.025302157
us-al-017,0.01529169
us-al-019,0.010962655
us-al-021,0.014598885
us-al-023,0.839284935
us-al-025,0.297905094
us-al-027,0.013695619
us-al-029,0.013323912
us-al-031,0.264511521
us-al-033,0.45584346
us-al-035,0.076329454
us-al-037,0.013074235
us-al-039,0.250384883
us-al-041,0.224460492
us-al-043,0.16982882
us-al-045,0.288066851
us-al-047,0.459866504
us-al-049,0.225178178
us-al-051,0.201709984
us-al-053,0.466963852
us-al-055,0.362646719
us-al-057,0.26014163
us-al-059,0.291420215
us-al-061,0.448428426
us-al-063,0.257598894
us-al-065,0.589761127
us-al-067,0.310078669
us-al-069,0.325277278
us-al-071,0.046576554
us-al-073,0.036809618
us-al-075,0.228853635
us-al-077,0.040306474
us-al-079,0.379354129
us-al-081,0.052109641
us-al-083,0.029925848
us-al-085,0.390867427
us-al-087,0.024178423
us-al-089,0.059936783
us-al-091,0.711331378
us-al-093,0.176321802
us-al-095,0.228766304
us-al-097,0.610419209
us-al-099,0.622566782
us-al-101,0.019165217
us-al-103,0.027261737
us-al-105,0.400094466
us-al-107,0.83731797
us-al-109,0.142198983
us-al-111,0.009664992
us-al-113,0.028770286
us-al-115,0.022237661
us-al-117,0.054468194
us-al-119,0.372440632
us-al-121,0.01534366
us-al-123,0.013988202
us-al-125,0.299034046
us-al-127,0.237982313
us-al-129,0.418013889
us-al-131,0.42463
us-al-133,0.135965775
us-az-001,0.039979505
us-az-003,0.135605554
us-az-005,0.046736099
us-az-007,0.319712313
us-az-009,0.278043663
us-az-011,0.231787472
us-az-012,0.046957997
us-az-013,0.082336759
us-az-015,0.036732303
us-az-017,0.116905028
us-az-019,0.058404087
us-az-021,0.02486064
us-az-023,0.346594746
us-az-025,0.048135753
us-az-027,0.203171784
us-ar-001,0.288604947
us-ar-003,0.249108066
us-ar-005,0.16193029
us-ar-007,0.297757344
us-ar-009,0.193292947
us-ar-011,0.340803271
us-ar-013,0.246150724
us-ar-015,0.263154912
us-ar-017,0.425889248
us-ar-019,0.378997833
us-ar-021,0.235901372
us-ar-023,0.138796416
us-ar-025,0.20851267
us-ar-027,0.302393365
us-ar-029,0.028832696
us-ar-031,0.281533468
us-ar-033,0.188791086
us-ar-035,0.383883846
us-ar-037,0.27160207
us-ar-039,0.357760354
us-ar-041,0.432926875
us-ar-043,0.302754681
us-ar-045,0.05063111
us-ar-047,0.166867299
us-ar-049,0.192566855
us-ar-051,0.279631564
us-ar-053,0.140584155
us-ar-055,0.211515919
us-ar-057,0.310495364
us-ar-059,0.209270013
us-ar-061,0.273944563
us-ar-063,0.159506313
us-ar-065,0.188309208
us-ar-067,0.315395078
us-ar-069,0.463962144
us-ar-071,0.213942125
us-ar-073,0.308897167
us-ar-075,0.229489562
us-ar-077,0.437554555
us-ar-079,0.25002522
us-ar-081,0.22124591
us-ar-083,0.181378362
us-ar-085,0.18243588
us-ar-087,0.157435235
us-ar-089,0.177281642
us-ar-091,0.201231223
us-ar-093,0.409966687
us-ar-095,0.407549601
us-ar-097,0.17482939
us-ar-099,0.274462686
us-ar-101,0.14577342
us-ar-103,0.381517474
us-ar-105,0.025120447
us-ar-107,0.474947835
